scene,platform_id,time,subswath,burst,lat,lon,dist_km,inc_deg,v_los_drift,method,v_los_pipe,residual
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,01_geom_last,-0.3378705050368945,-0.08297364652985284
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,02_geom_stokes_last,-0.2975105236788432,-0.04261366517180154
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,03_stokes_mouche_last,-0.1809694211502711,0.07392743735677054
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,04_stokes_mouche_desc_last,-0.05588181625566785,0.19901504225137379
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,05_full_mouche_last,0.1821713863734215,0.43706824488046314
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,03_stokes_ocn_last,0.05387194049161276,0.3087687989986544
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,04_stokes_ocn_desc_last,0.178959545386216,0.43385640389325764
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,05_full_ocn_last,0.41701274801530536,0.671909606522347
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,01_geom_first,-0.02910917250914155,0.22578768599790008
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,02_geom_stokes_first,0.011210240437559499,0.26610709894460116
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,03_stokes_mouche_first,0.1276728361983818,0.38256969470542346
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,04_stokes_mouche_desc_first,0.12980498955225964,0.3847018480593013
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,05_full_mouche_first,0.36785819218134896,0.6227550506883905
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,03_stokes_ocn_first,0.37268204243379055,0.6275789009408321
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,04_stokes_ocn_desc_first,0.37481419578766845,0.6297110542947101
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,05_full_ocn_first,0.6128673984167579,0.8677642569237995
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,ocn_product,0.07649706304073334,0.33139392154777497
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.25489685850704163,glo12,-0.1937553584575653,0.06114150004947633
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,01_geom_last,-1.5101726014206238,-0.867661179378829
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,02_geom_stokes_last,-1.5080498341510125,-0.8655384121092177
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,03_stokes_mouche_last,-1.4299216155001946,-0.7874101934583998
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,04_stokes_mouche_desc_last,-1.4123623996061152,-0.7698509775643204
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,05_full_mouche_last,-1.1668595253509348,-0.5243481033091401
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,03_stokes_ocn_last,-0.511115241427166,0.13139618061462877
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,04_stokes_ocn_desc_last,-0.49355602553308664,0.14895539650870815
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,05_full_ocn_last,-0.24805315127790628,0.3944582707638885
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,01_geom_first,0.0900332152868279,0.7325446373286226
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,02_geom_stokes_first,0.0926296068845906,0.7351410289263853
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,03_stokes_mouche_first,0.17265892313110015,0.8151703451728949
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,04_stokes_mouche_desc_first,0.11194104072704586,0.7544524627688407
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,05_full_mouche_first,0.3574439149822262,0.9999553370240211
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,03_stokes_ocn_first,1.2444581343351522,1.8869695563769469
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,04_stokes_ocn_desc_first,1.1837402519310978,1.8262516739728927
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,05_full_ocn_first,1.4292431261862781,2.071754548228073
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,ocn_product,-0.6687114238739014,-0.02620000183210658
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,glo12,-0.8101773858070374,-0.16766596376524256
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,01_geom_last,0.0907195563728043,0.03250261446662328
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,02_geom_stokes_last,0.05310667486135448,-0.005110267044826533
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,03_stokes_mouche_last,-0.08325593738611256,-0.14147287929229357
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,04_stokes_mouche_desc_last,-0.13310017347841124,-0.19131711538459226
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,05_full_mouche_last,0.13784477948637147,0.07962783758019046
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,03_stokes_ocn_last,-0.034665038872318615,-0.09288198077849963
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,04_stokes_ocn_desc_last,-0.0845092749646173,-0.1427262168707983
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,05_full_ocn_last,0.18643567800016542,0.1282187360939844
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,01_geom_first,-0.10834007517020547,-0.16655701707638648
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,02_geom_stokes_first,-0.14576943398039185,-0.20398637588657287
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,03_stokes_mouche_first,-0.2811390328459009,-0.3393559747520819
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,04_stokes_mouche_desc_first,-0.26188303992714246,-0.32009998183332344
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,05_full_mouche_first,0.009061913037640257,-0.04915502886854076
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,03_stokes_ocn_first,-0.23535699576656663,-0.29357393767274764
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,04_stokes_ocn_desc_first,-0.2161010028478082,-0.2743179447539892
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,05_full_ocn_first,0.054843950116974516,-0.0033729917892064976
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,ocn_product,0.1066453754901886,0.048428433584007585
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.05821694190618101,glo12,0.13129203021526337,0.07307508830908235
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,01_geom_last,-1.5837809724975818,-0.695145529303802
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,02_geom_stokes_last,-1.660917980806946,-0.7722825376131663
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,03_stokes_mouche_last,-1.9451126290727847,-1.056477185879005
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,04_stokes_mouche_desc_last,-2.1611108979232085,-1.2724754547294288
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,05_full_mouche_last,-1.9313869228608382,-1.0427514796670585
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,03_stokes_ocn_last,-0.21791814102423124,0.6707173021695485
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,04_stokes_ocn_desc_last,-0.43391640987465485,0.4547190333191249
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,05_full_ocn_last,-0.20419243481228455,0.6844430083814952
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,01_geom_first,0.007232313403941441,0.8958677565977212
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,02_geom_stokes_first,-0.06990664695753927,0.8187287962362405
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,03_stokes_mouche_first,-0.3541623601819503,0.5344730830118294
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,04_stokes_mouche_desc_first,-0.2882664236717767,0.6003690195220031
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,05_full_mouche_first,-0.05854244860940638,0.8300929945843734
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,03_stokes_ocn_first,1.2866104295347702,2.17524587272855
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,04_stokes_ocn_desc_first,1.352506366044944,2.241141809238724
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,05_full_ocn_first,1.5822303411073142,2.470865784301094
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,ocn_product,-1.4747307300567627,-0.586095286862983
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,glo12,-0.9848852157592773,-0.0962497725654976
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.04523880536952257,33.59485626220703,0.40451298282873466,01_geom_last,-0.6587361074046084,-1.0632490902333431
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.04523880536952257,33.59485626220703,0.40451298282873466,02_geom_stokes_last,-0.6743233478621432,-1.078836330690878
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.04523880536952257,33.59485626220703,0.40451298282873466,03_stokes_mouche_last,-0.6366595714346358,-1.0411725542633705
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.04523880536952257,33.59485626220703,0.40451298282873466,04_stokes_mouche_desc_last,-0.6907406288315171,-1.0952536116602518
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.04523880536952257,33.59485626220703,0.40451298282873466,05_full_mouche_last,-0.42285062252772987,-0.8273636053564646
scene14,3301675,2025-02-15 17:00:00,iw1,1,-36.93066,26.033676,0.04523880536952257,33.59485626220703,0.40451298282873466,03_stokes_ocn_last,-0.12183692818440883,-0.5263499110131435
