scene,platform_id,time,subswath,burst,lat,lon,dist_km,inc_deg,v_los_drift,method,v_los_pipe,residual
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.2548968585070416,ocn_dc_geom,-0.3181285560131073,-0.06323169750606572
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.2548968585070416,ocn_dc_stokes,-0.277825940400362,-0.022929081893320435
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.2548968585070416,ocn_dc_mouche,-0.16155613586306572,0.09334072264397586
scene1,1801812,2026-02-05 17:00:00,iw2,5,-34.381,28.08,0.6619112337564702,38.54773712158203,-0.2548968585070416,ocn_dc_full,0.07649706676602364,0.3313939252730652
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,ocn_dc_geom,-0.9957165718078613,-0.35320514976606654
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,ocn_dc_stokes,-0.993363857967779,-0.35085243592598425
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,ocn_dc_mouche,-0.9142296619247645,-0.2717182398829697
scene11,3301675,2024-12-24 17:00:00,iw1,8,-34.17286,27.42073,1.0516140063527128,35.31227493286133,-0.6425114220417948,ocn_dc_full,-0.6687113798689097,-0.026199957827114928
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.058216941906181,ocn_dc_geom,0.007545806001871824,-0.050671135904309175
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.058216941906181,ocn_dc_stokes,-0.02972995163872838,-0.08794689354490938
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.058216941906181,ocn_dc_mouche,-0.1642995667643845,-0.2225165086705655
scene12,3301675,2025-01-15 17:00:00,iw2,2,-36.04934,24.281631,1.474385962552178,37.0476188659668,0.058216941906181,ocn_dc_full,0.1066453862003982,0.04842844429421721
scene13,1601731,2025-02-08 17:00:00,iw2,7,-35.74582,24.494293,0.8511152375500987,38.742469787597656,-0.8886354431937797,ocn_dc_geom,-1.3427608013153076,-0.4541253581215279
